course_id,sched_1_355,sched_2_1035,sched_3_418,sched_4_2543,stop_1_355,stop_2_1035,stop_3_418,stop_4_2543,stay_1_355,stay_2_1035,stay_3_418,stay_4_2543,daily_course,weekly_course,t_stop1_to_stop2,t_stop2_to_stop3,t_stop3_to_stop4,sched_1_355_s,sched_2_1035_s,sched_3_418_s,sched_4_2543_s,stop_1_355_s,stop_2_1035_s,stop_3_418_s,stop_4_2543_s,t_stop1_to_stop2_original
1143527,2020-01-10 05:30:29.664,2020-01-10 05:31:30.144,2020-01-10 05:33:30.240,2020-01-10 05:35:30.336,2020-01-10 05:29:30.048,2020-01-10 05:30:29.664,2020-01-10 05:31:44.832,2020-01-10 05:34:36.768,0.0,0.0,1.0,1.0,1,1,59.616,75.168,171.936,1578627029.664,1578627090.144,1578627210.24,1578627330.336,1578626970.048,1578627029.664,1578627104.832,1578627276.768,59.616
1143529,2020-01-10 06:42:29.664,2020-01-10 06:43:30.144,2020-01-10 06:45:30.240,2020-01-10 06:47:30.336,2020-01-10 06:41:43.872,2020-01-10 06:43:09.408,2020-01-10 06:44:33.216,2020-01-10 06:48:02.304,1.0,1.0,0.0,1.0,2,2,85.536,83.808,209.088,1578631349.664,1578631410.144,1578631530.24,1578631650.336,1578631303.872,1578631389.408,1578631473.216,1578631682.304,85.536
1143531,2020-01-10 07:44:30.048,2020-01-10 07:46:30.144,2020-01-10 07:48:30.240,2020-01-10 07:51:29.952,2020-01-10 07:45:08.064,2020-01-10 07:47:33.216,2020-01-10 07:48:59.616,2020-01-10 07:52:07.968,1.0,1.0,2.0,1.0,3,3,145.152,86.4,188.352,1578635070.048,1578635190.144,1578635310.24,1578635489.952,1578635108.064,1578635253.216,1578635339.616,1578635527.968,145.152
1143533,2020-01-10 08:58:30.144,2020-01-10 09:00:30.240,2020-01-10 09:02:30.336,2020-01-10 09:05:30.048,2020-01-10 08:58:30.144,2020-01-10 09:00:19.008,2020-01-10 09:01:31.584,2020-01-10 09:04:40.800,0.0,0.0,0.5,1.0,4,4,108.864,72.576,189.216,1578639510.144,1578639630.24,1578639750.336,1578639930.048,1578639510.144,1578639619.008,1578639691.584,1578639880.8,108.864
1143535,2020-01-10 10:28:30.144,2020-01-10 10:30:30.240,2020-01-10 10:32:30.336,2020-01-10 10:35:30.048,2020-01-10 10:27:38.304,2020-01-10 10:30:02.592,2020-01-10 10:31:36.768,2020-01-10 10:34:37.344,2.0,1.0,0.0,0.0,5,5,144.288,94.176,180.576,1578644910.144,1578645030.24,1578645150.336,1578645330.048,1578644858.304,1578645002.592,1578645096.768,1578645277.344,144.288
1143539,2020-01-10 12:50:30.048,2020-01-10 12:52:30.144,2020-01-10 12:54:30.240,2020-01-10 12:57:29.952,2020-01-10 12:50:09.312,2020-01-10 12:51:59.904,2020-01-10 12:54:10.368,2020-01-10 12:56:40.704,1.0,1.0,0.0,1.0,6,6,110.592,130.464,150.336,1578653430.048,1578653550.144,1578653670.24,1578653849.952,1578653409.312,1578653519.904,1578653650.368,1578653800.704,110.592
1143543,2020-01-10 15:12:29.952,2020-01-10 15:14:30.048,2020-01-10 15:16:30.144,2020-01-10 15:19:29.856,2020-01-10 15:12:15.264,2020-01-10 15:14:16.224,2020-01-10 15:15:47.808,2020-01-10 15:19:41.088,0.5,0.0,1.0,1.0,7,7,120.96,91.584,233.28,1578661949.952,1578662070.048,1578662190.144,1578662369.856,1578661935.264,1578662056.224,1578662147.808,1578662381.088,120.96
1143545,2020-01-10 16:29:29.760,2020-01-10 16:31:29.856,2020-01-10 16:33:29.952,2020-01-10 16:36:29.664,2020-01-10 16:30:30.240,2020-01-10 16:32:40.704,2020-01-10 16:33:50.688,2020-01-10 16:36:14.112,1.0,0.5,1.0,0.0,8,8,130.464,69.984,143.424,1578666569.76,1578666689.856,1578666809.952,1578666989.664,1578666630.24,1578666760.704,1578666830.688,1578666974.112,130.464
1143547,2020-01-10 17:41:29.760,2020-01-10 17:43:29.856,2020-01-10 17:45:29.952,2020-01-10 17:48:29.664,2020-01-10 17:49:11.136,2020-01-10 17:50:45.312,2020-01-10 17:54:04.032,2020-01-10 17:59:43.584,1.0,1.0,2.0,1.0,9,9,94.176,198.72,339.552,1578670889.76,1578671009.856,1578671129.952,1578671309.664,1578671351.136,1578671445.312,1578671644.032,1578671983.584,94.176
1143549,2020-01-10 18:52:30.144,2020-01-10 18:54:30.240,2020-01-10 18:56:30.336,2020-01-10 18:59:30.048,2020-01-10 19:05:50.208,2020-01-10 19:07:32.160,2020-01-10 19:08:41.280,2020-01-10 19:12:10.368,1.0,0.5,2.0,0.5,10,10,101.952,69.12,209.088,1578675150.144,1578675270.24,1578675390.336,1578675570.048,1578675950.208,1578676052.16,1578676121.28,1578676330.368,101.952
