x,y
30.24,59.616
42.336,85.536
51.84,145.152
51.84,108.864
71.712,144.288
30.24,110.592
41.472,120.96
76.896,130.464
36.288,94.176
62.208,101.952
40.608,146.88
38.016,129.6
30.24,43.2
45.792,98.496
53.568,117.504
38.016,109.728
40.608,120.096
30.24,128.736
34.56,60.48
43.2,158.112
52.704,106.272
41.472,102.816
35.424,123.552
52.704,167.616
31.104,186.624
59.616,169.344
66.528,75.168
46.656,63.936
41.472,105.408
68.256,123.552
74.304,68.256
44.064,104.544
51.84,107.136
31.968,120.096
72.576,126.144
88.128,146.88
51.84,145.152
68.256,83.808
73.44,148.608
63.936,146.88
31.104,148.608
29.376,85.536
70.848,82.944
78.624,71.712
48.384,196.992
75.168,79.488
44.928,115.776
50.976,165.888
33.696,131.328
59.616,148.608
45.792,178.848
63.936,114.048
31.968,94.176
74.304,134.784
63.936,126.144
43.2,76.896
65.664,83.808
35.424,63.936
31.968,158.112
38.016,124.416
25.92,85.536
84.672,126.144
84.672,128.736
74.304,147.744
86.4,105.408
66.528,185.76
33.696,190.944
50.112,165.888
51.84,114.912
56.16,59.616
37.152,70.848
83.808,108.0
51.84,135.648
54.432,129.6
79.488,113.184
56.16,141.696
66.528,156.384
69.12,129.6
52.704,198.72
44.928,121.824
41.472,148.608
31.968,274.752
37.152,61.344
32.832,106.272
79.488,126.144
80.352,145.152
49.248,129.6
34.56,144.288
41.472,84.672
80.352,125.28
88.128,126.144
56.16,107.136
42.336,126.144
44.928,148.608
27.648,63.072
63.072,111.456
126.144,64.8
31.104,169.344
32.832,150.336
61.344,105.408
65.664,126.144
67.392,126.144
48.384,42.336
83.808,170.208
64.8,104.544
63.072,63.072
44.064,104.544
63.936,84.672
82.944,103.68
42.336,86.4
39.744,55.296
69.984,63.936
63.072,33.696
42.336,53.568
71.712,70.848
42.336,84.672
29.376,150.336
49.248,83.808
63.072,149.472
31.968,126.144
31.968,165.888
97.632,148.608
40.608,128.736
57.024,189.216
59.616,105.408
31.968,64.8
66.528,62.208
42.336,169.344
100.224,83.808
76.032,128.736
34.56,129.6
29.376,126.144
55.296,127.008
57.888,148.608
39.744,148.608
85.536,147.744
26.784,107.136
44.064,86.4
44.064,127.008
61.344,147.744
79.488,74.304
89.856,36.288
26.784,152.928
42.336,127.008
51.84,106.272
71.712,117.504
40.608,108.0
63.072,80.352
50.976,120.096
