course_id,sched_1_355,sched_2_1035,sched_3_418,sched_4_2543,stop_1_355,stop_2_1035,stop_3_418,stop_4_2543,stay_1_355,stay_2_1035,stay_3_418,stay_4_2543,daily_course,weekly_course,t_stop1_to_stop2,t_stop2_to_stop3,t_stop3_to_stop4,sched_1_355_s,sched_2_1035_s,sched_3_418_s,sched_4_2543_s,stop_1_355_s,stop_2_1035_s,stop_3_418_s,stop_4_2543_s,year,month,day
1143527,30:29.7,31:30.1,33:30.2,35:30.3,29:30.0,30:29.7,31:44.8,34:36.8,0,0,1,1,1,1,59.616,75.168,171.936,1578627030,1578627090,1578627210,1578627330,1578626970,1578627030,1578627105,1578627277,2020,1,10
1143529,42:29.7,43:30.1,45:30.2,47:30.3,41:43.9,43:09.4,44:33.2,48:02.3,1,1,0,1,2,2,85.536,83.808,209.088,1578631350,1578631410,1578631530,1578631650,1578631304,1578631389,1578631473,1578631682,2020,1,10
1143531,44:30.0,46:30.1,48:30.2,51:30.0,45:08.1,47:33.2,48:59.6,52:08.0,1,1,2,1,3,3,145.152,86.4,188.352,1578635070,1578635190,1578635310,1578635490,1578635108,1578635253,1578635340,1578635528,2020,1,10
1143533,58:30.1,00:30.2,02:30.3,05:30.0,58:30.1,00:19.0,01:31.6,04:40.8,0,0,0.5,1,4,4,108.864,72.576,189.216,1578639510,1578639630,1578639750,1578639930,1578639510,1578639619,1578639692,1578639881,2020,1,10
1143535,28:30.1,30:30.2,32:30.3,35:30.0,27:38.3,30:02.6,31:36.8,34:37.3,2,1,0,0,5,5,144.288,94.176,180.576,1578644910,1578645030,1578645150,1578645330,1578644858,1578645003,1578645097,1578645277,2020,1,10
1143539,50:30.0,52:30.1,54:30.2,57:30.0,50:09.3,51:59.9,54:10.4,56:40.7,1,1,0,1,6,6,110.592,130.464,150.336,1578653430,1578653550,1578653670,1578653850,1578653409,1578653520,1578653650,1578653801,2020,1,10
1143543,12:30.0,14:30.0,16:30.1,19:29.9,12:15.3,14:16.2,15:47.8,19:41.1,0.5,0,1,1,7,7,120.96,91.584,233.28,1578661950,1578662070,1578662190,1578662370,1578661935,1578662056,1578662148,1578662381,2020,1,10
1143545,29:29.8,31:29.9,33:30.0,36:29.7,30:30.2,32:40.7,33:50.7,36:14.1,1,0.5,1,0,8,8,130.464,69.984,143.424,1578666570,1578666690,1578666810,1578666990,1578666630,1578666761,1578666831,1578666974,2020,1,10
1143547,41:29.8,43:29.9,45:30.0,48:29.7,49:11.1,50:45.3,54:04.0,59:43.6,1,1,2,1,9,9,94.176,198.72,339.552,1578670890,1578671010,1578671130,1578671310,1578671351,1578671445,1578671644,1578671984,2020,1,10
1143549,52:30.1,54:30.2,56:30.3,59:30.0,05:50.2,07:32.2,08:41.3,12:10.4,1,0.5,2,0.5,10,10,101.952,69.12,209.088,1578675150,1578675270,1578675390,1578675570,1578675950,1578676052,1578676121,1578676330,2020,1,10
1143551,59:30.3,00:30.0,02:30.0,04:30.1,09:33.4,12:00.3,12:52.1,15:51.0,2,0,0,1,11,11,146.88,51.84,178.848,1578679170,1578679230,1578679350,1578679470,1578679773,1578679920,1578679972,1578680151,2020,1,10
1143553,10:29.9,11:30.3,13:30.4,15:29.7,09:32.8,11:42.4,12:55.9,15:33.1,1,1,0,1,12,12,129.6,73.44,157.248,1578683430,1578683490,1578683610,1578683730,1578683373,1578683502,1578683576,1578683733,2020,1,10
1143800,29:30.0,30:29.7,31:30.1,33:30.2,29:24.0,30:07.2,31:11.1,33:58.8,0,0,0,1,1,13,43.2,63.936,167.616,1578713370,1578713430,1578713490,1578713610,1578713364,1578713407,1578713471,1578713639,2020,1,11
1143802,29:30.3,30:30.0,31:30.4,33:29.7,30:15.3,31:53.8,32:37.8,34:06.0,1,0,0,0,2,14,98.496,44.064,88.128,1578716970,1578717030,1578717090,1578717210,1578717015,1578717114,1578717158,1578717246,2020,1,11
1143804,39:30.2,41:30.3,42:30.0,44:30.0,38:46.2,40:43.7,41:46.8,44:04.1,2,0.5,0,1,3,15,117.504,63.072,137.376,1578721170,1578721290,1578721350,1578721470,1578721126,1578721244,1578721307,1578721444,2020,1,11
