course_id,year,month,day,sched_1_355,sched_2_1035,sched_3_418,sched_4_2543,stop_1_355,stop_2_1035,stop_3_418,stop_4_2543,stay_1_355,stay_2_1035,stay_3_418,stay_4_2543,daily_course,weekly_course,df1,df2,df3
1143527,2020,1,10,2020-01-10-05-30,2020-01-10-05-31,2020-01-10-05-33,2020-01-10-05-35,2020-01-10-05-29,2020-01-10-05-30,2020-01-10-05-31,2020-01-10-05-34,0,0,1,1,1,1,0.000694444,0.000694444,0.002083333
1143529,2020,1,10,2020-01-10-06-42,2020-01-10-06-43,2020-01-10-06-45,2020-01-10-06-47,2020-01-10-06-41,2020-01-10-06-43,2020-01-10-06-44,2020-01-10-06-48,1,1,0,1,2,2,0.001388889,0.000694444,0.002777778
1143531,2020,1,10,2020-01-10-07-44,2020-01-10-07-46,2020-01-10-07-48,2020-01-10-07-51,2020-01-10-07-45,2020-01-10-07-47,2020-01-10-07-49,2020-01-10-07-52,1,1,2,1,3,3,0.001388889,0.001388889,0.002083333
1143533,2020,1,10,2020-01-10-08-58,2020-01-10-09-00,2020-01-10-09-02,2020-01-10-09-05,2020-01-10-08-58,2020-01-10-09-00,2020-01-10-09-01,2020-01-10-09-04,0,0,0.5,1,4,4,0.001388889,0.000694444,0.002083333
1143535,2020,1,10,2020-01-10-10-28,2020-01-10-10-30,2020-01-10-10-32,2020-01-10-10-35,2020-01-10-10-27,2020-01-10-10-30,2020-01-10-10-31,2020-01-10-10-34,2,1,0,0,5,5,0.002083333,0.000694444,0.002083333
1143539,2020,1,10,2020-01-10-12-50,2020-01-10-12-52,2020-01-10-12-54,2020-01-10-12-57,2020-01-10-12-50,2020-01-10-12-52,2020-01-10-12-54,2020-01-10-12-56,1,1,0,1,6,6,0.001388889,0.001388889,0.001388889
1143543,2020,1,10,2020-01-10-15-12,2020-01-10-15-14,2020-01-10-15-16,2020-01-10-15-19,2020-01-10-15-12,2020-01-10-15-14,2020-01-10-15-15,2020-01-10-15-19,0.5,0,1,1,7,7,0.001388889,0.000694444,0.002777778
1143545,2020,1,10,2020-01-10-16-29,2020-01-10-16-31,2020-01-10-16-33,2020-01-10-16-36,2020-01-10-16-30,2020-01-10-16-32,2020-01-10-16-33,2020-01-10-16-36,1,0.5,1,0,8,8,0.001388889,0.000694444,0.002083333
1143547,2020,1,10,2020-01-10-17-41,2020-01-10-17-43,2020-01-10-17-45,2020-01-10-17-48,2020-01-10-17-49,2020-01-10-17-50,2020-01-10-17-54,2020-01-10-17-59,1,1,2,1,9,9,0.000694444,0.002777778,0.003472222
1143549,2020,1,10,2020-01-10-18-52,2020-01-10-18-54,2020-01-10-18-56,2020-01-10-18-59,2020-01-10-19-05,2020-01-10-19-07,2020-01-10-19-08,2020-01-10-19-12,1,0.5,2,0.5,10,10,0.001388889,0.000694444,0.002777778
1143551,2020,1,10,2020-01-10-19-59,2020-01-10-20-00,2020-01-10-20-02,2020-01-10-20-04,2020-01-10-20-09,2020-01-10-20-12,2020-01-10-20-12,2020-01-10-20-15,2,0,0,1,11,11,0.002083333,0,0.002083333
1143553,2020,1,10,2020-01-10-21-10,2020-01-10-21-11,2020-01-10-21-13,2020-01-10-21-15,2020-01-10-21-09,2020-01-10-21-11,2020-01-10-21-12,2020-01-10-21-15,1,1,0,1,12,12,0.001388889,0.000694444,0.002083333
1143800,2020,1,11,2020-01-11-05-29,2020-01-11-05-30,2020-01-11-05-31,2020-01-11-05-33,2020-01-11-05-29,2020-01-11-05-30,2020-01-11-05-31,2020-01-11-05-33,0,0,0,1,1,13,0.000694444,0.000694444,0.001388889
1143802,2020,1,11,2020-01-11-06-29,2020-01-11-06-30,2020-01-11-06-31,2020-01-11-06-33,2020-01-11-06-30,2020-01-11-06-31,2020-01-11-06-32,2020-01-11-06-34,1,0,0,0,2,14,0.000694444,0.000694444,0.001388889
