course_id,year,month,day,sched_1_355,sched_2_1035,sched_3_418,sched_4_2543,stop_1_355,stop_2_1035,stop_3_418,stop_4_2543,stay_1_355,stay_2_1035,stay_3_418,stay_4_2543,daily_course,weekly_course,df1,df2,df3
1143527,2020,1,10,43840,43840.23021,43840.2316,43840.23299,43840.22882,43840.22951,43840.23038,43840.23237,0,0,1,1,1,1,0.000694444,0.000694444,0.002083333
1143529,2020,1,10,43840,43840.28021,43840.2816,43840.28299,43840.27898,43840.27997,43840.28094,43840.28336,1,1,0,1,2,2,0.001388889,0.000694444,0.002777778
1143531,2020,1,10,43840,43840.32396,43840.32535,43840.32743,43840.32301,43840.32469,43840.32569,43840.32787,1,1,2,1,3,3,0.001388889,0.001388889,0.002083333
1143533,2020,1,10,43840,43840.37535,43840.37674,43840.37882,43840.37396,43840.37522,43840.37606,43840.37825,0,0,0.5,1,4,4,0.001388889,0.000694444,0.002083333
1143535,2020,1,10,43840,43840.43785,43840.43924,43840.44132,43840.43586,43840.43753,43840.43862,43840.44071,2,1,0,0,5,5,0.002083333,0.000694444,0.002083333
1143539,2020,1,10,43840,43840.53646,43840.53785,43840.53993,43840.53483,43840.53611,43840.53762,43840.53936,1,1,0,1,6,6,0.001388889,0.001388889,0.001388889
1143543,2020,1,10,43840,43840.63507,43840.63646,43840.63854,43840.63351,43840.63491,43840.63597,43840.63867,0.5,0,1,1,7,7,0.001388889,0.000694444,0.002777778
1143545,2020,1,10,43840,43840.68854,43840.68993,43840.69201,43840.68785,43840.68936,43840.69017,43840.69183,1,0.5,1,0,8,8,0.001388889,0.000694444,0.002083333
1143547,2020,1,10,43840,43840.73854,43840.73993,43840.74201,43840.74249,43840.74358,43840.74588,43840.74981,1,1,2,1,9,9,0.000694444,0.002777778,0.003472222
1143549,2020,1,10,43840,43840.78785,43840.78924,43840.79132,43840.79572,43840.7969,43840.7977,43840.80012,1,0.5,2,0.5,10,10,0.001388889,0.000694444,0.002777778
1143551,2020,1,10,43840,43840.83368,43840.83507,43840.83646,43840.83997,43840.84167,43840.84227,43840.84434,2,0,0,1,11,11,0.002083333,0,0.002083333
1143553,2020,1,10,43840,43840.88299,43840.88438,43840.88576,43840.88163,43840.88313,43840.88398,43840.8858,1,1,0,1,12,12,0.001388889,0.000694444,0.002083333
1143800,2020,1,11,43841,43841.22951,43841.23021,43841.2316,43841.22875,43841.22925,43841.22999,43841.23193,0,0,0,1,1,13,0.000694444,0.000694444,0.001388889
1143802,2020,1,11,43841,43841.27118,43841.27188,43841.27326,43841.27101,43841.27215,43841.27266,43841.27368,1,0,0,0,2,14,0.000694444,0.000694444,0.001388889
1143804,2020,1,11,43841,43841.32049,43841.32118,43841.32257,43841.31859,43841.31995,43841.32068,43841.32227,2,0.5,0,1,3,15,0.001388889,0.000694444,0.002083333
1143806,2020,1,11,43841,43841.36424,43841.36493,43841.36632,43841.36262,43841.36389,43841.36456,43841.36563,1,0,0,1,4,16,0.001388889,0,0.001388889
1143808,2020,1,11,43841,43841.41563,43841.41632,43841.41771,43841.41367,43841.41506,43841.41566,43841.41811,1,0,0,1,5,17,0.001388889,0.000694444,0.002777778
1143810,2020,1,11,43841,43841.46215,43841.46285,43841.46424,43841.4603,43841.46179,43841.46249,43841.4642,1,0,0,1,6,18,0.001388889,0.000694444,0.002083333
1143812,2020,1,11,43841,43841.5059,43841.5066,43841.50799,43841.50395,43841.50465,43841.50529,43841.50733,0,0,1,1,7,19,0.000694444,0.000694444,0.002083333
1143814,2020,1,11,43841,43841.54965,43841.55035,43841.55174,43841.54897,43841.5508,43841.55154,43841.55313,2,0,1,1,8,20,0.002083333,0.000694444,0.001388889
1143816,2020,1,11,43841,43841.5934,43841.5941,43841.59549,43841.59247,43841.5937,43841.59443,43841.59591,1,0.5,0,1,9,21,0.000694444,0.000694444,0.002083333
1143818,2020,1,11,43841,43841.63715,43841.63785,43841.63924,43841.63531,43841.6365,43841.63726,43841.64007,1,1,1,1,10,22,0.001388889,0.000694444,0.002777778
1143820,2020,1,11,43841,43841.68646,43841.68715,43841.68854,43841.68454,43841.68597,43841.68679,43841.68865,1,0.5,0,1,11,23,0.001388889,0.000694444,0.002083333
1143822,2020,1,11,43841,43841.7316,43841.73229,43841.73368,43841.73058,43841.73252,43841.73329,43841.73574,1.5,0.5,1,1,12,24,0.001388889,0.000694444,0.002777778
1143824,2020,1,11,43841,43841.77535,43841.77604,43841.77743,43841.77416,43841.77632,43841.77711,43841.77909,2,1,0,0.5,13,25,0.002083333,0.001388889,0.001388889
1143826,2020,1,11,43841,43841.81771,43841.8184,43841.81979,43841.81709,43841.81905,43841.81956,43841.82189,1,0,1,1,14,26,0.002083333,0.000694444,0.002083333
1143828,2020,1,11,43841,43841.86493,43841.86563,43841.86701,43841.86419,43841.86506,43841.86565,43841.86772,1,0,0,1,15,27,0.000694444,0.000694444,0.002083333
1143800,2020,1,12,43842,43842.22951,43842.23021,43842.2316,43842.22818,43842.22892,43842.22964,43842.23112,0,0,0,0.5,1,28,0.000694444,0.000694444,0.001388889
1143802,2020,1,12,43842,43842.27118,43842.27188,43842.27326,43842.26997,43842.27119,43842.27193,43842.27365,1,0,0.5,0.5,2,29,0.001388889,0.000694444,0.002083333
1143804,2020,1,12,43842,43842.32049,43842.32118,43842.32257,43842.31782,43842.31925,43842.31986,43842.32229,1,0,0.5,1,3,30,0.001388889,0.000694444,0.002777778
1143806,2020,1,12,43842,43842.36424,43842.36493,43842.36632,43842.36229,43842.36308,43842.36383,43842.36674,0,0,0.5,1,4,31,0.000694444,0.000694444,0.003472222
1143808,2020,1,12,43842,43842.41563,43842.41632,43842.41771,43842.41354,43842.41475,43842.41573,43842.4172,0.5,0,0.5,1,5,32,0.001388889,0.000694444,0.001388889
1143810,2020,1,12,43842,43842.46215,43842.46285,43842.46424,43842.46024,43842.46148,43842.46221,43842.46416,0.5,0,0.5,1,6,33,0.001388889,0.000694444,0.002083333
1143812,2020,1,12,43842,43842.5059,43842.5066,43842.50799,43842.5039,43842.50529,43842.50603,43842.50749,1,0.5,1,1,7,34,0.001388889,0.000694444,0.001388889
1143814,2020,1,12,43842,43842.54965,43842.55035,43842.55174,43842.5484,43842.54986,43842.55061,43842.55279,2,0.5,0.5,1,8,35,0.001388889,0.000694444,0.002777778
1143816,2020,1,12,43842,43842.5934,43842.5941,43842.59549,43842.5919,43842.5936,43842.59433,43842.59603,2,0.5,0,1,9,36,0.001388889,0.000694444,0.002083333
1143818,2020,1,12,43842,43842.63715,43842.63785,43842.63924,43842.63559,43842.63727,43842.638,43842.64016,2,0.5,0.5,0,10,37,0.001388889,0.000694444,0.002083333
1143820,2020,1,12,43842,43842.68646,43842.68715,43842.68854,43842.68509,43842.68606,43842.68681,43842.68853,0.5,0,0,1,11,38,0.000694444,0.001388889,0.001388889
1143822,2020,1,12,43842,43842.7316,43842.73229,43842.73368,43842.73009,43842.73181,43842.73255,43842.7345,1,0,0.5,1,12,39,0.001388889,0.000694444,0.002083333
1143824,2020,1,12,43842,43842.77535,43842.77604,43842.77743,43842.77368,43842.77538,43842.77612,43842.77737,1,0.5,0.5,1,13,40,0.001388889,0.000694444,0.001388889
1143826,2020,1,12,43842,43842.81771,43842.8184,43842.81979,43842.8173,43842.81902,43842.81973,43842.82193,1,0.5,0.5,1,14,41,0.002083333,0.000694444,0.002083333
1143828,2020,1,12,43842,43842.86493,43842.86563,43842.86701,43842.86407,43842.86506,43842.86556,43842.86775,1,0,0,1,15,42,0.000694444,0.000694444,0.002083333
1143527,2020,1,13,43843,43843.23021,43843.2316,43843.23299,43843.22911,43843.23007,43843.23106,43843.23328,0,0,1,0.5,1,43,0.001388889,0.000694444,0.002083333
1143529,2020,1,13,43843,43843.28021,43843.2816,43843.28299,43843.27918,43843.28001,43843.28102,43843.28249,1,0,0,1,2,44,0.000694444,0.000694444,0.001388889
1143531,2020,1,13,43843,43843.32396,43843.32535,43843.32743,43843.3303,43843.33258,43843.33331,43843.33479,2,0,0,1,3,45,0.002083333,0.000694444,0.002083333
1143533,2020,1,13,43843,43843.37535,43843.37674,43843.37882,43843.38043,43843.38135,43843.38284,43843.38486,0.5,1,1,1,4,46,0.001388889,0.001388889,0.002083333
1143535,2020,1,13,43843,43843.43785,43843.43924,43843.44132,43843.43743,43843.43877,43843.43976,43843.44196,1,0,0.5,1,5,47,0.001388889,0.001388889,0.002083333
1143537,2020,1,13,43843,43843.48715,43843.48854,43843.49063,43843.48515,43843.48707,43843.48804,43843.49047,1,1,1,1,6,48,0.002083333,0.000694444,0.002777778
1143539,2020,1,13,43843,43843.53646,43843.53785,43843.53993,43843.53444,43843.53596,43843.53716,43843.53936,1,0.5,1,1,7,49,0.001388889,0.001388889,0.002083333
1143541,2020,1,13,43843,43843.58576,43843.58715,43843.58924,43843.58475,43843.58647,43843.58733,43843.59052,2,0,1,1,8,50,0.001388889,0.000694444,0.003472222
1143543,2020,1,13,43843,43843.63507,43843.63646,43843.63854,43843.63374,43843.63581,43843.63689,43843.63862,2,1,1,1,9,51,0.002083333,0.001388889,0.001388889
1143545,2020,1,13,43843,43843.68854,43843.68993,43843.69201,43843.68716,43843.68848,43843.68972,43843.69181,1,1,1,0.5,10,52,0.001388889,0.001388889,0.002083333
1143547,2020,1,13,43843,43843.73854,43843.73993,43843.74201,43843.74212,43843.74321,43843.7449,43843.74829,1,1,2,1,11,53,0.001388889,0.001388889,0.003472222
1143549,2020,1,13,43843,43843.78785,43843.78924,43843.79132,43843.79874,43843.8003,43843.80106,43843.80267,1,0,0,1,12,54,0.001388889,0.000694444,0.001388889
1143551,2020,1,13,43843,43843.83368,43843.83507,43843.83646,43843.84517,43843.84663,43843.8472,43843.84963,1,0,0,1,13,55,0.001388889,0,0.002777778
1143553,2020,1,13,43843,43843.88299,43843.88438,43843.88576,43843.8994,43843.90029,43843.90087,43843.90402,0,0,0.5,3,14,56,0.000694444,0.000694444,0.002777778
1143527,2020,1,14,43844,43844.23021,43844.2316,43844.23299,43844.22906,43844.23003,43844.231,43844.23341,0.5,0,1,0.5,1,57,0.001388889,0.000694444,0.002777778
1143529,2020,1,14,43844,43844.28021,43844.2816,43844.28299,43844.27954,43844.28028,43844.28103,43844.28249,0,0,0.5,1,2,58,0.000694444,0.000694444,0.001388889
1143531,2020,1,14,43844,43844.32396,43844.32535,43844.32743,43844.32611,43844.32794,43844.3289,43844.33088,2,0,0,0.5,3,59,0.002083333,0.000694444,0.002083333
1143533,2020,1,14,43844,43844.37535,43844.37674,43844.37882,43844.38175,43844.38319,43844.38392,43844.38637,0.5,0,0,1,4,60,0.001388889,0.000694444,0.002777778
1143535,2020,1,14,43844,43844.43785,43844.43924,43844.44132,43844.43657,43844.43756,43844.43876,43844.44069,0,0.5,0.5,1,5,61,0.001388889,0.000694444,0.002083333
1143537,2020,1,14,43844,43844.48715,43844.48854,43844.49063,43844.4855,43844.48696,43844.48792,43844.49034,1,0.5,0.5,1,6,62,0.001388889,0.000694444,0.002777778
1143541,2020,1,14,43844,43844.58576,43844.58715,43844.58924,43844.58453,43844.58602,43844.587,43844.58947,2,0.5,0,0.5,7,63,0.001388889,0.001388889,0.002083333
1143543,2020,1,14,43844,43844.63507,43844.63646,43844.63854,43844.63306,43844.63477,43844.636,43844.63744,1,0,2,0.5,8,64,0.002083333,0.000694444,0.001388889
1143545,2020,1,14,43844,43844.68854,43844.68993,43844.69201,43844.68671,43844.68793,43844.68866,43844.69068,0,0,0,0.5,9,65,0.001388889,0.000694444,0.002083333
1143547,2020,1,14,43844,43844.73854,43844.73993,43844.74201,43844.74162,43844.74377,43844.74669,43844.74865,1,2,0.5,1,10,66,0.002777778,0.002777778,0.002083333
1143549,2020,1,14,43844,43844.78785,43844.78924,43844.79132,43844.7967,43844.79891,43844.79987,43844.80278,2,0,2,0.5,11,67,0.002083333,0.000694444,0.003472222
1143551,2020,1,14,43844,43844.83368,43844.83507,43844.83646,43844.84522,43844.84714,43844.84787,43844.84981,1,0,0,1,12,68,0.001388889,0.000694444,0.002083333
1143553,2020,1,14,43844,43844.88299,43844.88438,43844.88576,43844.88652,43844.88785,43844.88821,43844.89016,1,0,0.5,0.5,13,69,0.001388889,0.000694444,0.001388889
1143527,2020,1,15,43845,43845.23021,43845.2316,43845.23299,43845.2294,43845.23009,43845.23097,43845.23313,0,0,0,1,1,70,0.000694444,0.000694444,0.002083333
1143529,2020,1,15,43845,43845.28021,43845.2816,43845.28299,43845.27928,43845.2801,43845.28094,43845.28353,1,0.5,1,0,2,71,0.000694444,0.000694444,0.002777778
1143531,2020,1,15,43845,43845.32396,43845.32535,43845.32743,43845.32953,43845.33078,43845.3316,43845.33355,1,0,0,1,3,72,0.001388889,0.000694444,0.002083333
1143533,2020,1,15,43845,43845.37535,43845.37674,43845.37882,43845.37877,43845.38034,43845.38128,43845.38348,2,0.5,0,1,4,73,0.001388889,0.001388889,0.002083333
1143535,2020,1,15,43845,43845.43785,43845.43924,43845.44132,43845.43647,43845.43797,43845.43906,43845.44072,1,1,0,0.5,5,74,0.001388889,0.001388889,0.001388889
1143537,2020,1,15,43845,43845.48715,43845.48854,43845.49063,43845.4862,43845.48751,43845.48883,43845.49032,0.5,1,1,1,6,75,0.001388889,0.000694444,0.002083333
1143539,2020,1,15,43845,43845.53646,43845.53785,43845.53993,43845.53637,43845.53801,43845.53984,43845.54191,1,0.5,1,0.5,7,76,0.001388889,0.002083333,0.002083333
1143541,2020,1,15,43845,43845.58576,43845.58715,43845.58924,43845.5849,43845.58671,43845.5875,43845.58946,2,1,0.5,0.5,8,77,0.001388889,0.001388889,0.001388889
1143543,2020,1,15,43845,43845.63507,43845.63646,43845.63854,43845.63375,43845.63525,43845.63653,43845.6386,1,1,1,1,9,78,0.001388889,0.001388889,0.002083333
1143545,2020,1,15,43845,43845.68854,43845.68993,43845.69201,43845.68743,43845.68973,43845.69095,43845.69279,2,1,0,1,10,79,0.002777778,0.000694444,0.002083333
1143547,2020,1,15,43845,43845.73854,43845.73993,43845.74201,43845.74116,43845.74257,43845.74388,43845.74747,1,0,2,1,11,80,0.001388889,0.001388889,0.003472222
1143549,2020,1,15,43845,43845.78785,43845.78924,43845.79132,43845.80176,43845.80348,43845.80454,43845.80679,2,1,1,1,12,81,0.002083333,0.000694444,0.002083333
