course_id;sched_1_355;sched_2_1035;sched_3_418;sched_4_2543;stop_1_355;stop_2_1035;stop_3_418;stop_4_2543;stay_1_355;stay_2_1035;stay_3_418;stay_4_2543;daily_course;weekly_course;delta1;delta2;delta3;date
1143527;2020-01-10-05-30;2020-01-10-05-31;2020-01-10-05-33;2020-01-10-05-35;2020-01-10-05-29;2020-01-10-05-30;2020-01-10-05-31;2020-01-10-05-34;0;0;1;1;1;1;0.00069;0.00087;0.001295556;10.01.2020
1143529;2020-01-10-06-42;2020-01-10-06-43;2020-01-10-06-45;2020-01-10-06-47;2020-01-10-06-41;2020-01-10-06-43;2020-01-10-06-44;2020-01-10-06-48;1;1;0;1;2;2;0.000295556;0.000275556;0.00242;10.01.2020
1143531;2020-01-10-07-44;2020-01-10-07-46;2020-01-10-07-48;2020-01-10-07-51;2020-01-10-07-45;2020-01-10-07-47;2020-01-10-07-49;2020-01-10-07-52;1;1;2;1;3;3;0.000985556;0.000305556;0.000791111;10.01.2020
1143533;2020-01-10-08-58;2020-01-10-09-00;2020-01-10-09-02;2020-01-10-09-05;2020-01-10-08-58;2020-01-10-09-00;2020-01-10-09-01;2020-01-10-09-04;0;0;0.5;1;4;4;0.00126;0.00084;0.001842778;10.01.2020
1143535;2020-01-10-10-28;2020-01-10-10-30;2020-01-10-10-32;2020-01-10-10-35;2020-01-10-10-27;2020-01-10-10-30;2020-01-10-10-31;2020-01-10-10-34;2;1;0;0;5;5;0.000281111;0.000395556;0.00209;10.01.2020
1143539;2020-01-10-12-50;2020-01-10-12-52;2020-01-10-12-54;2020-01-10-12-57;2020-01-10-12-50;2020-01-10-12-52;2020-01-10-12-54;2020-01-10-12-56;1;1;0;1;6;6;0.000585556;0.000815556;0.00174;10.01.2020
1143543;2020-01-10-15-12;2020-01-10-15-14;2020-01-10-15-16;2020-01-10-15-19;2020-01-10-15-12;2020-01-10-15-14;2020-01-10-15-15;2020-01-10-15-19;0.5;0;1;1;7;7;0.001052778;0.00106;0.002005556;10.01.2020
1143545;2020-01-10-16-29;2020-01-10-16-31;2020-01-10-16-33;2020-01-10-16-36;2020-01-10-16-30;2020-01-10-16-32;2020-01-10-16-33;2020-01-10-16-36;1;0.5;1;0;8;8;0.000815556;0.000462778;0.000965556;10.01.2020
1143547;2020-01-10-17-41;2020-01-10-17-43;2020-01-10-17-45;2020-01-10-17-48;2020-01-10-17-49;2020-01-10-17-50;2020-01-10-17-54;2020-01-10-17-59;1;1;2;1;9;9;0.000395556;0.001605556;0.002541111;10.01.2020
1143549;2020-01-10-18-52;2020-01-10-18-54;2020-01-10-18-56;2020-01-10-18-59;2020-01-10-19-05;2020-01-10-19-07;2020-01-10-19-08;2020-01-10-19-12;1;0.5;2;0.5;10;10;0.000485556;0.000452778;0.001031111;10.01.2020
1143551;2020-01-10-19-59;2020-01-10-20-00;2020-01-10-20-02;2020-01-10-20-04;2020-01-10-20-09;2020-01-10-20-12;2020-01-10-20-12;2020-01-10-20-15;2;0;0;1;11;11;0.000311111;0.0006;0.00207;10.01.2020
1143553;2020-01-10-21-10;2020-01-10-21-11;2020-01-10-21-13;2020-01-10-21-15;2020-01-10-21-09;2020-01-10-21-11;2020-01-10-21-12;2020-01-10-21-15;1;1;0;1;12;12;0.000805556;0.000155556;0.00182;10.01.2020
1143800;2020-01-11-05-29;2020-01-11-05-30;2020-01-11-05-31;2020-01-11-05-33;2020-01-11-05-29;2020-01-11-05-30;2020-01-11-05-31;2020-01-11-05-33;0;0;0;1;1;13;0.0005;0.00074;0.00194;11.01.2020
1143802;2020-01-11-06-29;2020-01-11-06-30;2020-01-11-06-31;2020-01-11-06-33;2020-01-11-06-30;2020-01-11-06-31;2020-01-11-06-32;2020-01-11-06-34;1;0;0;0;2;14;0.000445556;0.00051;0.00102;11.01.2020
1143804;2020-01-11-07-39;2020-01-11-07-41;2020-01-11-07-42;2020-01-11-07-44;2020-01-11-07-38;2020-01-11-07-40;2020-01-11-07-41;2020-01-11-07-44;2;0.5;0;1;3;15;-2.88889E-05;0.000382778;0.00159;11.01.2020
1143806;2020-01-11-08-42;2020-01-11-08-44;2020-01-11-08-45;2020-01-11-08-47;2020-01-11-08-42;2020-01-11-08-44;2020-01-11-08-44;2020-01-11-08-46;1;0;0;1;4;16;0.000575556;0.00067;0.00107;11.01.2020
1143808;2020-01-11-09-56;2020-01-11-09-58;2020-01-11-09-59;2020-01-11-10-01;2020-01-11-09-55;2020-01-11-09-57;2020-01-11-09-58;2020-01-11-10-02;1;0;0;1;5;17;0.000695556;0.0006;0.00245;11.01.2020
1143810;2020-01-11-11-03;2020-01-11-11-05;2020-01-11-11-06;2020-01-11-11-08;2020-01-11-11-02;2020-01-11-11-04;2020-01-11-11-05;2020-01-11-11-08;1;0;0;1;6;18;0.000795556;0.0007;0.00171;11.01.2020
1143812;2020-01-11-12-06;2020-01-11-12-08;2020-01-11-12-09;2020-01-11-12-11;2020-01-11-12-05;2020-01-11-12-06;2020-01-11-12-07;2020-01-11-12-10;0;0;1;1;7;19;0.0007;0.00064;0.001345556;11.01.2020
1143814;2020-01-11-13-09;2020-01-11-13-11;2020-01-11-13-12;2020-01-11-13-14;2020-01-11-13-10;2020-01-11-13-13;2020-01-11-13-14;2020-01-11-13-16;2;0;1;1;8;20;0.000441111;0.00074;0.000895556;11.01.2020
1143816;2020-01-11-14-12;2020-01-11-14-14;2020-01-11-14-15;2020-01-11-14-17;2020-01-11-14-13;2020-01-11-14-14;2020-01-11-14-15;2020-01-11-14-18;1;0.5;0;1;9;21;0.000535556;0.000382778;0.00148;11.01.2020
1143818;2020-01-11-15-15;2020-01-11-15-17;2020-01-11-15-18;2020-01-11-15-20;2020-01-11-15-14;2020-01-11-15-16;2020-01-11-15-17;2020-01-11-15-21;1;1;1;1;10;22;0.000495556;6.55556E-05;0.002115556;11.01.2020
1143820;2020-01-11-16-26;2020-01-11-16-28;2020-01-11-16-29;2020-01-11-16-31;2020-01-11-16-25;2020-01-11-16-27;2020-01-11-16-28;2020-01-11-16-31;1;0.5;0;1;11;23;0.000735556;0.000472778;0.00186;11.01.2020
1143822;2020-01-11-17-31;2020-01-11-17-33;2020-01-11-17-34;2020-01-11-17-36;2020-01-11-17-32;2020-01-11-17-34;2020-01-11-17-35;2020-01-11-17-39;1.5;0.5;1;1;12;24;0.000898333;0.000422778;0.001755556;11.01.2020
1143824;2020-01-11-18-34;2020-01-11-18-36;2020-01-11-18-37;2020-01-11-18-39;2020-01-11-18-34;2020-01-11-18-37;2020-01-11-18-39;2020-01-11-18-41;2;1;0;0.5;13;25;0.000771111;9.55556E-05;0.00198;11.01.2020
