temp;feels_like;temp_min;temp_max;pressure;humidity;wind_speed;rain_1h;rain_3h;snow_1h;snow_3h;clouds_all
-2.22;-4.29;-4.25;0.77;1023;86;1.5;;;;;1
-0.65;-2.5;-3.11;13.27;1024;79;1.5;;;;;1
0.22;0.22;-1.18;3.9;1024;69;1;;;;;1
3.75;3.75;1.82;13.37;1021;59;0;;;;;0
4.83;4.83;3.39;13.37;1023;55;1;;;;;1
9.32;9.32;8.82;13.37;1021;36;1;;;;;0
8.47;8.47;6.82;13.87;1018;47;0;;;;;20
1.82;1.82;1.82;3.35;1022;59;0;;;;;1
2.65;2.65;-0.18;13.87;1019;76;0;;;;;0
0.53;0.53;-1.18;13.87;1022;80;0.5;;;;;1
-0.18;-1.96;-0.18;0.57;1023;80;1.5;;;;;1
1.87;1.87;-2.31;14.17;1020;85;0;;;;;0
-1.92;-3.94;-4.18;2.26;1024;74;1.5;;;;;1
0.19;-2.36;-7.11;14.87;1024;78;2.1;;;;;1
1.85;1.85;-0.18;5.6;1025;64;0.5;;;;;1
5.49;2.46;-1.11;15.37;1022;54;4;;;;;20
7.08;3.65;-1.11;15.37;1024;56;5.7;;;;;1
7.36;4;6.82;8.9;1024;49;5.7;;;;;1
6.52;2.75;5.82;7.82;1023;52;6.2;;;;;1
6.32;2.69;5.82;7.26;1024;55;5.7;;;;;1
5.31;1.21;4.82;6.68;1024;63;6.2;0.11;;;;40
4.82;0.59;4.82;6.13;1024;65;6.2;;;;;40
5.48;2.13;4.82;6.71;1024;60;4.6;;;;;40
3.84;-0.16;1.99;5.01;1025;75;5.1;;;;;20
3.84;0.37;1.99;5.01;1025;69;4.1;;;;;1
3.7;-0.08;1.64;6.99;1026;80;4.6;0.14;;;;1
2.77;0.77;1.09;4.45;1023;77;2;0.1;;;;75
-0.18;-2.79;-0.18;2.24;1027;92;2.1;;;0.2;;90
1.69;1.69;0.79;7.77;1024;87;0;0.21;;;;75
1.45;-1.4;-0.18;4.48;1028;80;2.6;0.31;;;;90
2.32;2.32;0.82;7.77;1026;85;0;0.26;;;;75
3;0.93;0.89;7.77;1029;86;2.1;0.24;;;;90
4.44;4.44;3.82;5.6;1028;78;1;0.15;;;;90
4.15;4.15;1.69;8.07;1025;80;0;;;;;40
5.02;3.29;1.69;8.07;1028;75;2.1;;;;;90
4.82;2.6;4.82;5.01;1028;80;2.6;;;;;90
4.34;4.34;2.19;7.77;1025;79;0;;;;;40
4.43;1.75;2.19;7.77;1028;79;3.1;;;;;90
3.78;3.78;1.89;5.04;1025;81;1;;;;;40
2.09;-0.13;1.68;4.15;1028;93;2.1;;;;;75
1.82;0.32;1.13;1.82;1029;86;1.5;;;;;75
1.66;1.66;0.82;7.57;1026;94;0;;;;;40
0.82;0.82;0.82;1.68;1027;100;1;;;;;90
2.21;2.21;1.69;5.05;1028;93;1;;;;;90
3.15;3.15;1.82;5.6;1028;82;1;;;;;90
3.79;3.79;2.02;6.75;1025;78;0;;;;;90
4.04;4.04;2.69;6.75;1028;78;1;;;;;90
4.56;4.56;2.82;12.67;1021;75;0;;;;;90
5.2;5.2;3.82;7.24;1026;70;1;;;;;90
4.74;4.74;3.82;5.6;1026;71;1;;;;;90
4.13;4.13;2.82;7.25;1023;77;0;;;;;90
4.24;3.08;2.82;7.25;1025;77;1.5;;;;;90
3.79;2.57;2.82;5.6;1026;77;1.5;;;;;90
3.79;3.79;2.79;5.6;1025;78;1;;;;;90
1.82;-0.45;1.82;2.79;1025;93;2.1;;;;;90
0.93;-0.69;-1.39;3.1;1026;93;1.5;;;;;90
0.82;-0.82;0.82;1.68;1025;93;1.5;;;;;90
2.15;2.15;-0.71;5.05;1026;78;0;;;;;90
1.91;0.42;0.82;3.93;1026;79;1.5;;;;;90
2.43;2.43;0.62;6.75;1023;79;0;;;;;90
3.29;3.29;0.69;7.79;1026;75;0.5;;;;;90
4.87;4.87;2.82;13.37;1022;70;0;;;;;20
9.2;7.22;3.82;9.48;1025;60;3.6;;;;;1
3.46;3.46;1.82;10.77;1022;77;0;;;;;36
2.65;0.02;-0.18;10.77;1026;71;2.6;;;;;1
1.56;1.56;-1.18;10.07;1024;84;0;;;;;40
0.18;-2.37;-3.18;10.07;1028;86;2.1;;;;;90
-0.69;-2.54;-3.18;3.93;1028;80;1.5;;;;;90
-0.23;-0.23;-4.18;10.07;1025;82;0;;;;;90
-0.07;-0.07;-5.61;11.57;1027;88;0;;;;;90
0.08;0.08;-5.61;11.57;1030;88;0;;;;;90
1.52;-0.02;-2.18;1.71;1031;71;1.5;;;;;90
0.41;0.41;-2.18;12.17;1028;88;1;;;;;90
1;1;-1.18;12.17;1030;83;0.5;;;;;90
1.82;1.82;-1.18;14.46;1027;87;1;;;;;90
1.66;0.14;-1.18;12.87;1029;87;1.5;;;;;90
5.79;5.79;-1.18;6.15;1029;67;0.5;;;;;90
1.99;1.99;-1.18;14.17;1026;85;0;;;;;90
1.45;1.45;-1.18;14.17;1030;86;1;;;;;90
0.79;0.79;-2.18;13.37;1028;88;0;;;;;90
0.68;0.68;-2.18;13.37;1031;88;1;;;;;90
0.52;0.52;-2.81;13.77;1028;86;0;;;;;90
-0.41;-0.41;-5.31;11.57;1027;88;0;;;;;40
-0.64;-0.64;-5.31;11.57;1030;88;0.5;;;;;90
0.98;0.98;-2.18;1.15;1030;72;1;;;;;90
-0.3;-0.3;-3.18;13.17;1027;89;0;;;;;90
0.11;0.11;-2.18;13.17;1029;83;1;;;;;90
-0.27;-0.27;-2.18;12.07;1026;100;0;;;;;90
0.67;0.67;-2.18;12.07;1028;88;1;;;;;90
3.14;3.14;-1.18;3.37;1028;71;0.5;;;;;90
0.92;0.92;-1.18;12.17;1025;85;0;;;;;90
-0.43;-0.43;-2.18;2.82;1028;89;1;;;;;90
0.33;0.33;-2.18;5.35;1026;89;0;;;;;90
-0.15;-2.75;-2.18;5.35;1029;89;2.1;;;;;90
-0.62;-0.62;-2.18;2.26;1029;89;1;;;;;90
